Input,Forward_Output,Inverse_Output
0,0,0
1,4,0
2,9,0
3,13,0
4,18,0
5,22,1
6,26,1
7,30,1
8,33,1
9,36,1
10,40,2
11,42,2
12,45,2
13,48,2
14,50,3
15,53,3
16,55,3
17,57,3
18,59,3
19,61,4
20,63,4
21,65,4
22,67,4
23,69,5
24,71,5
25,73,5
26,75,5
27,76,6
28,78,6
29,80,6
30,81,6
31,83,7
32,84,7
33,86,7
34,87,8
35,89,8
36,90,8
37,92,9
38,93,9
39,95,9
40,96,10
41,97,10
42,99,10
43,100,11
44,101,11
45,103,11
46,104,12
47,105,12
48,106,12
49,108,13
50,109,13
51,110,14
52,111,14
53,112,15
54,114,15
55,115,15
56,116,16
57,117,16
58,118,17
59,119,17
60,120,18
61,121,18
62,123,19
63,124,19
64,125,20
65,126,20
66,127,21
67,128,21
68,129,22
69,130,22
70,131,23
71,132,23
72,133,24
73,134,24
74,135,25
75,136,26
76,137,26
77,138,27
78,139,27
79,140,28
80,141,28
81,142,29
82,142,30
83,143,30
84,144,31
85,145,32
86,146,32
87,147,33
88,148,34
89,149,34
90,150,35
91,151,36
92,151,36
93,152,37
94,153,38
95,154,38
96,155,39
97,156,40
98,156,41
99,157,41
100,158,42
101,159,43
102,160,44
103,161,44
104,161,45
105,162,46
106,163,47
107,164,48
108,165,48
109,165,49
110,166,50
111,167,51
112,168,52
113,169,53
114,169,53
115,170,54
116,171,55
117,172,56
118,172,57
119,173,58
120,174,59
121,175,60
122,175,61
123,176,62
124,177,62
125,178,63
126,178,64
127,179,65
128,180,66
129,180,67
130,181,68
131,182,69
132,183,70
133,183,71
134,184,72
135,185,73
136,185,74
137,186,75
138,187,76
139,188,77
140,188,78
141,189,79
142,190,81
143,190,82
144,191,83
145,192,84
146,192,85
147,193,86
148,194,87
149,194,88
150,195,89
151,196,91
152,196,92
153,197,93
154,198,94
155,198,95
156,199,96
157,200,98
158,200,99
159,201,100
160,201,101
161,202,102
162,203,104
163,203,105
164,204,106
165,205,107
166,205,109
167,206,110
168,207,111
169,207,113
170,208,114
171,208,115
172,209,116
173,210,118
174,210,119
175,211,120
176,211,122
177,212,123
178,213,124
179,213,126
180,214,127
181,214,129
182,215,130
183,216,131
184,216,133
185,217,134
186,217,136
187,218,137
188,219,139
189,219,140
190,220,141
191,220,143
192,221,144
193,221,146
194,222,147
195,223,149
196,223,150
197,224,152
198,224,153
199,225,155
200,225,157
201,226,158
202,227,160
203,227,161
204,228,163
205,228,164
206,229,166
207,229,168
208,230,169
209,231,171
210,231,172
211,232,174
212,232,176
213,233,177
214,233,179
215,234,181
216,234,182
217,235,184
218,235,186
219,236,187
220,236,189
221,237,191
222,238,193
223,238,194
224,239,196
225,239,198
226,240,200
227,240,201
228,241,203
229,241,205
230,242,207
231,242,209
232,243,210
233,243,212
234,244,214
235,244,216
236,245,218
237,245,220
238,246,221
239,246,223
240,247,225
241,247,227
242,248,229
243,248,231
244,249,233
245,250,235
246,250,237
247,251,239
248,251,241
249,252,243
250,252,245
251,253,246
252,253,248
253,254,250
254,254,252
255,255,255
